timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699448163855,65,click My Info-54,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-4,text,false,,762,713,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees,65,0,0
1699448163920,69,click My Info-55,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-4,text,false,,762,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,69,0,0
1699448164410,61,Save,503,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-3,,false,,762,1188,5,5,null,0,1,0
1699448164410,61,Save-59,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-3,text,false,,762,1188,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,61,0,0
1699448164990,209,Save,401,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-4,,false,,328,1188,5,5,null,0,1,0
1699448164990,209,Save-59,401,Unauthorized,jp@gc - Ultimate Thread Group 1-4,text,false,,328,1188,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,209,0,0
1699448163040,2169,click My Info,503,"Number of samples in transaction : 13, number of failing samples : 12",jp@gc - Ultimate Thread Group 1-5,,false,,111240,10768,5,5,null,0,4,0
1699448163040,63,click My Info-39,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,762,849,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewMyDetails,63,0,0
1699448163104,62,click My Info-42,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,762,867,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPersonalDetails/empNumber/7,62,0,0
1699448163167,623,click My Info-44,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101739,751,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,286,0,0
1699448163790,320,click My Info-45,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,2421,1489,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,252,0,0
1699448163790,252,click My Info-45-0,302,Found,jp@gc - Ultimate Thread Group 1-5,text,true,,1659,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/7,252,0,0
1699448164042,68,click My Info-45-1,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,762,737,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,68,0,0
1699448164111,61,click My Info-48,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,762,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,61,0,0
1699448164173,239,click My Info-46,401,Unauthorized,jp@gc - Ultimate Thread Group 1-5,text,false,,328,715,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7,239,0,0
1699448164412,63,click My Info-49,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-5,text,false,,762,807,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/custom-fields?screen=personal,63,0,0
